denom,type,stat,alpha,sample_mean,sample_sd
490,PA,wOBA,0.576531907,166.0500705,17.94600443
490,PA,2B_pct,0.354276389,24.14781635,5.959550522
490,PA,3B_pct,0.574564279,2.484882419,2.407258715
500,PA,K_pct,0.907346831,87.67097532,27.66654112
500,PA,BB_pct,0.820834064,40.46180964,14.34144585
500,PA,OBP,0.582378418,165.9976498,16.27253172
500,PA,HR,0.758785832,15.28789659,7.814501251
500,PA,HBP,0.619069914,4.287896592,3.335101257
500,PA,X1B,0.685001166,80.26439483,14.5937743
500,PA,wOBA,0.571455012,169.8591645,18.04939707
500,PA,2B_pct,0.339500409,24.70035253,5.959529185
500,PA,3B_pct,0.563112049,2.504112808,2.384936947
510,PA,K_pct,0.909136522,89.00859951,28.16361745
510,PA,BB_pct,0.823405055,41.31818182,14.59686191
510,PA,OBP,0.585635161,169.6142506,16.50617219
510,PA,HR,0.764551055,15.56511057,7.980915824
510,PA,HBP,0.615065377,4.334152334,3.33587429
510,PA,X1B,0.687026299,82.09336609,14.80321531
510,PA,wOBA,0.581346367,173.5274853,18.44565149
510,PA,2B_pct,0.34676926,25.23955774,6.057360728
510,PA,3B_pct,0.568651946,2.5995086,2.445328353
520,PA,K_pct,0.911037417,90.66710013,28.72849689
520,PA,BB_pct,0.827850726,42.23276983,14.94422505
520,PA,OBP,0.590273518,173.2171651,16.76797595
520,PA,HR,0.7686428,15.95578674,8.150800123
520,PA,HBP,0.61534554,4.413524057,3.367758309
520,PA,X1B,0.697402756,83.73862159,15.2033295
520,PA,wOBA,0.587928149,177.2898088,18.79217288
520,PA,2B_pct,0.358068449,25.79323797,6.176666108
520,PA,3B_pct,0.565128275,2.655396619,2.461600963
530,PA,K_pct,0.912612753,92.3218232,29.25289207
530,PA,BB_pct,0.831244457,43.07596685,15.2429301
530,PA,OBP,0.605442268,176.7582873,17.25477063
530,PA,HR,0.77270392,16.26519337,8.302300409
530,PA,HBP,0.616677899,4.45441989,3.389328272
530,PA,X1B,0.699831316,85.34254144,15.41070068
530,PA,wOBA,0.601463648,181.0248743,19.30384213
530,PA,2B_pct,0.353765171,26.49723757,6.238349526
530,PA,3B_pct,0.568402389,2.747237569,2.513241413
540,PA,K_pct,0.914183169,94.37647059,29.83507991
540,PA,BB_pct,0.833700949,44.13970588,15.53957028
540,PA,OBP,0.599561197,180.5911765,17.30129551
540,PA,HR,0.777246249,16.66323529,8.487527094
540,PA,HBP,0.616878607,4.526470588,3.417774627
540,PA,X1B,0.706108132,87.01764706,15.72498309
540,PA,wOBA,0.596783915,184.9820412,19.39230222
540,PA,2B_pct,0.337731799,27.12205882,6.234124948
540,PA,3B_pct,0.589981062,2.791176471,2.598953868
550,PA,K_pct,0.917936368,95.8453125,30.74682537
550,PA,BB_pct,0.834769108,45.240625,15.7795327
550,PA,OBP,0.601049084,184.303125,17.50194238
550,PA,HR,0.781282429,17.0875,8.672722695
550,PA,HBP,0.602651866,4.5765625,3.374916318
550,PA,X1B,0.711549063,88.63125,16.01852288
550,PA,wOBA,0.599187069,188.7874891,19.64793144
550,PA,2B_pct,0.323188476,27.615625,6.222711161
550,PA,3B_pct,0.571244464,2.83125,2.560007519
560,PA,K_pct,0.919882561,97.32026144,31.36259692
560,PA,BB_pct,0.838931105,46.04248366,16.12283533
560,PA,OBP,0.606108707,187.6617647,17.7736719
560,PA,HR,0.779195004,17.62581699,8.765476105
560,PA,HBP,0.613179939,4.661764706,3.452029289
560,PA,X1B,0.715578293,90.07843137,16.26550552
560,PA,wOBA,0.605672594,192.5147026,20.02649784
